id,category,title,text,source,created_at,contact_email,contact_phone,has_link,link,amount,label,is_fake
5110,scholarship,Exclusive Merit-based Scholarship Award - Claim Now,Limited time scholarship award for Merit-based Scholarship. Click http://bit.ly/mt3wjq3qu663 to claim — pay a small processing fee. Note: send bank details,synthetic,2025-05-09 22:27:25,stellar.corp@globaltech.org,684-640-9307,0,,100,fake,1
9890,job,Immediate Hiring: Software Engineer (No Interview),Instant job offer for Software Engineer. No interview required. Click here: http://bit.ly/3xl7rrl4epib to accept and send personal details. Note: prize awarded,synthetic,2025-10-08 03:41:26,stellar.corp@gmail.com,751-563-5114,0,,,fake,1
745,scholarship,STEM Excellence Award Application Result,Congratulations — you have been shortlisted for the STEM Excellence Award by Horizon University. Please find attached the offer details and stipend information.,synthetic,2025-06-30 16:00:25,horizon.university@university.edu,932-349-9523,0,,1500,real,0
10732,job,Backend Developer - Full-time,Stellar Corp has completed the review of your application and would like to offer you the position of Backend Developer. An official offer letter will follow. Note: application review research funding  For official communication use hr@stellarcorp.edu.,synthetic,2025-05-05 16:15:26,stellar.corp@university.edu,922-633-7245,0,,,real,0
2737,job,Immediate Hiring: Lab Technician (No Interview),Instant job offer for Lab Technician. No interview required. Click here: http://bit.ly/tr9rz056mw7b to accept and send personal details. Note: urgent response required,synthetic,2025-06-23 14:33:25,greenfield.institute@globaltech.org,656-751-5941,0,,,fake,1
3896,scholarship,Exclusive International Study Grant Award - Claim Now,Exclusive scholarship approval for you. No documents required. Send account and ID to nextgen.research@novascholarships.org for immediate transfer.,synthetic,2025-10-10 17:26:25,nextgen.research@globaltech.org,989-104-9222,0,,5000,fake,1
2879,scholarship,Exclusive International Study Grant Award - Claim Now,Limited time scholarship award for International Study Grant. Click http://bit.ly/adtkcf057gsq to claim — pay a small processing fee. Note: click here to claim,synthetic,2025-10-27 08:57:25,horizon.university@acme.com,703-650-2888,0,,5000,fake,1
1851,scholarship,Exclusive Need-based Fellowship Award - Claim Now,Limited time scholarship award for Need-based Fellowship. Click http://bit.ly/r9mm201lda71 to claim — pay a small processing fee.,synthetic,2025-05-22 01:17:25,apex.solutions@globaltech.org,781-112-5811,1,http://bit.ly/l30x0tatllqh,500,fake,1
1205,scholarship,STEM Excellence Award Application Result,We are delighted to inform you that you have been selected for the STEM Excellence Award. Further instructions will follow from the grants office.,synthetic,2025-04-17 01:46:25,horizon.university@globaltech.org,977-489-1206,0,,100,real,0
4735,scholarship,Exclusive Women in Tech Scholarship Award - Claim Now,Limited time scholarship award for Women in Tech Scholarship. Click http://bit.ly/kyh04b1nukf3 to claim — pay a small processing fee. Note: processing fee,synthetic,2025-10-05 05:26:25,greenfield.institute@university.edu,867-629-2184,0,,5000,fake,1
3072,scholarship,Exclusive STEM Excellence Award Award - Claim Now,Limited time scholarship award for STEM Excellence Award. Click http://bit.ly/0lgc2810z4em to claim — pay a small processing fee. Note: no interview,synthetic,2025-08-26 15:27:25,acme.labs@acme.com,765-854-1508,1,http://bit.ly/js6ft3cbz2dl,2000,fake,1
10122,scholarship,Exclusive International Study Grant Award - Claim Now,Limited time scholarship award for International Study Grant. Click http://bit.ly/0136leotwidd to claim — pay a small processing fee. Note: claim now,synthetic,2025-11-13 21:27:26,stellar.corp@globaltech.org,977-769-4225,0,,500,fake,1
